Reasoners,Success,Total,OutOfMemory,Timeout,Inconsistent Error,Other Error,Total Error,Mean,Sum,Amean,Gmean,Max,Min,Amean_adjusted,Gmean_adjusted
KoncludeCLI,20,21,0,0,0,1,1,36.159065,723.1813,377.29434761904764,28.44830732023831,148.2672,2.9125,377.29434761904764,28.44830732023831
Konclude,14,21,4,0,1,2,7,20.676307142857144,289.4683,2413.784204761905,48.50646975875715,184.3682,0.5057,2453.258038095238,273.9324822145085
HermiT,11,21,4,5,0,1,10,366.5619454545454,4032.1813999999995,3620.580066666667,729.4899904254456,1908.5797,11.5463,3647.0482333333334,948.8546049855391
Openllet,10,21,0,10,0,1,11,254.22828999999996,2542.2828999999997,3892.4896619047613,641.9739767620031,1042.3083,3.2355,3930.718495238096,1070.3126121919815
Pellet,10,21,0,7,0,4,11,311.08554,3110.8554,3919.564542857143,672.0956172049208,1038.3361,3.271,3956.2145428571434,1114.3700864413506
Factpp,7,21,0,8,0,6,14,2085.8583,14601.0081,5495.286099999999,3790.7446537387996,3283.479,7.7604,5503.296361904761,4054.6238105546267
JFact,0,21,0,17,1,3,21,,0.0,7200.0,7200.000000000009,,,7200.0,7200.000000000009
