Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Realization_LoadingAdded,HermiT_Realization_LoadingAdded,JFact_Realization_LoadingAdded,Konclude_Realization_LoadingAdded,Openllet_Realization_LoadingAdded,Pellet_Realization_LoadingAdded,KoncludeCLI_Realization_LoadingAdded
gallen.owl,23136,0,63324,37696,36205,0,1491,0,950,1,OWL2_DL - OWL2_FULL,OWL2_DL,,0.00030000000000000003,,9.3707,,,13.7697,0.2822,2.732,0.2503,1.8769,1.1587,0.9282,,2.7323000000000004,,11.247599999999998,,,13.7697
ochv.owl,115645,0,505642,173501,173475,0,26,1,17,18,OWL2_FULL,OWL2_FULL,1822.6472,0.001,,1.5162,963.3387,832.1246,9.7193,1.1561,3.2611,1.2308,5.2507,2.6604,1.9837,1823.8033,3.2620999999999998,,6.7669,965.9991,834.1083,9.7193
snmi.owl,109156,109150,998278,490449,109047,381376,26,6,21,21,OWL2_FULL,OWL2_FULL,1873.3226,1465.8397,,1.1118,10.9804,9.5351,12.8254,3.3935,5.0667,3.0773,15.5143,7.8711,6.8329,1876.7160999999999,1470.9064,,16.6261,18.8515,16.368000000000002,12.8254
reto.owl,147738,138523,1927495,941797,152173,789624,0,0,12,7,OWL2_FULL,OWL2_FULL,2318.4704,18.5409,,1.5162,3.2838,3.2431,20.7903,5.1971,7.2469,4.3503,27.5785,10.9453,9.2846,2323.6675,25.7878,,29.0947,14.229099999999999,12.5277,20.7903
rexo.owl,158239,149084,2043111,997563,162839,834724,0,0,12,7,OWL2_FULL,OWL2_FULL,2537.5354,20.1902,,1.6222,3.4755,3.3543,36.6366,5.3123000000000005,7.8052,5.1625,29.0946,11.6621,10.1518,2542.8477000000003,27.9954,,30.7168,15.1376,13.5061,36.6366
gexo.owl,166254,157102,2143045,1052276,170932,881344,0,0,12,7,OWL2_FULL,OWL2_FULL,2890.1311,19.8306,,1.6937,3.5512,3.5897,37.6571,5.8701,8.2493,5.3315,31.0443,12.319,10.6374,2896.0012,28.079900000000002,,32.738,15.8702,14.2271,37.6571
iobc.owl,126847,66923,1929343,316724,182277,134384,63,0,59,30,OWL2_DL - OWL2_FULL,OWL2_DL,,1216.4435,,2.5334,173.8074,172.9724,24.2175,2.357,4.2941,2.9748,9.3539,4.8332,4.773,,1220.7376000000002,,11.8873,178.6406,177.7454,24.2175
rhmesh.owl,305349,0,1654092,432805,432805,0,0,0,1,2,OWL2_FULL,OWL2_FULL,7.1301,0.0005,,4.7233,8.7143,8.2704,29.4762,3.3504,8.205,3.6376,10.9328,7.577,6.4454,10.4805,8.2055,,15.6561,16.2913,14.715800000000002,29.4762
hoom.xml,117829,1,461823,222011,221980,1,30,2,12,11,OWL2_DL - OWL2_FULL,OWL2_DL,,,,164.2287,,,2.9152,12.1493,22.3497,1.8835,23.4341,5.678,4.8775,,,,187.6628,,,2.9152
fma.owl,104721,2,791248,296460,296329,2,129,29,139,51,OWL2_DL - OWL2_FULL,OWL2_DL,,,,7.6767,,,58.9893,1.813,11.7183,1.4588,11.7216,1721.5037,1726.7027,,,,19.3983,,,58.9893
