Reasoners,Success,Total,OutOfMemory,Timeout,Other Error,Total Error,Mean,Sum,Amean,Gmean,Max,Min
JFact,21,21,0,0,0,0,10.552676190476191,221.6062,10.552676190476191,5.112863867278711,76.5753,0.2503
Openllet,21,21,0,0,0,0,159.55422857142852,3350.6387999999997,159.55422857142852,22.436062642345306,1721.5037,1.1587
HermiT,19,21,1,0,1,2,23.2026,440.8494,706.7071142857143,25.094091885554604,121.5299,2.732
Pellet,18,21,0,0,3,3,121.34652777777777,2184.2374999999997,1132.5827380952383,35.26720320069614,1726.7027,0.9282
Factpp,17,21,0,0,4,4,11.778923529411765,200.2417,1380.9638904761905,20.624832939037777,89.4015,0.2822
Konclude,16,21,4,0,1,5,32.1359,514.1744,1738.7702095238094,83.13791069880946,119.0712,1.8769
