Reasoners,Success,Total,OutOfMemory,Timeout,Inconsistent Error,Other Error,Total Error,Mean,Sum,Amean,Gmean,Max,Min,Amean_adjusted,Gmean_adjusted
KoncludeCLI,20,21,0,0,0,1,1,36.923905000000005,738.4781,378.02276666666666,28.638014774786267,159.213,2.9152,378.0227666666666,28.638014774786242
Konclude,14,21,4,0,1,2,7,19.71452857142857,276.0034,2413.143019047619,61.623510073446695,164.2287,1.1118,2452.6168523809524,276.1568342623826
Openllet,10,21,0,10,0,1,11,256.34643,2563.4643,3893.4982999999997,647.4657692514766,963.3387,3.2838,3931.7271333333338,1077.109606316509
HermiT,10,21,3,7,0,1,11,289.32475000000005,2893.2475000000004,3909.2022619047616,99.0345222269288,1465.8397,0.00030000000000000003,3923.041266666666,796.7948042821606
Pellet,9,21,1,7,0,4,12,274.1510111111111,2467.3590999999997,4231.779004761904,755.7962922938543,1152.2098,3.2431,4265.279161904762,1243.0241544480239
Factpp,7,21,0,8,0,6,14,1962.2293000000002,13735.6051,5454.076433333334,3718.9157580638353,2890.1311,7.1301,5462.086695238096,3990.5736509725316
JFact,0,21,0,18,1,2,21,,0.0,7200.0,7200.000000000009,,,7200.0,7200.000000000009
