Reasoners,Success,Total,OutOfMemory,Timeout,Other Error,Total Error,Inconstent Ontologies,Mean,Sum,Amean,Gmean,Max,Min,Amean_adjusted,Gmean_adjusted
KoncludeCLI,20,21,0,0,1,1,0,29.197070000000004,583.9414,370.6638761904762,23.275276853811953,106.662,2.7262,370.66387619047623,23.275276853811942
HermiT,18,21,2,0,1,3,0,8.6999,156.5982,1036.0284857142856,1.3221198426916176,73.4778,0.0006000000000000001,1092.9193285714287,96.65336301749194
Openllet,17,21,0,4,0,4,0,5.652270588235293,96.08859999999999,1376.0042190476192,11.784594783358125,30.567,0.441,1583.4195142857145,181.64896274416435
Konclude,16,21,4,0,1,5,1,0.005887500000000001,0.09420000000000002,1714.2902000000004,0.09690613389654402,0.0542,0.0019,1764.068657142857,150.72469056718776
Pellet,16,21,0,2,3,5,0,80.39726875000001,1286.3563000000001,1775.5407761904762,20.618053517342236,1208.5942,0.4516,1922.7258904761907,203.8972196922875
Factpp,13,21,0,2,6,8,0,13.649184615384616,177.4394,2751.3066380952378,87.89844817901617,71.1099,0.6052,2794.8669476190476,311.764659990847
JFact,8,21,0,11,2,13,1,513.682825,4109.4626,4652.831552380952,2452.1925447479243,905.2962,168.3202,4663.928204761904,2523.0898907595893
