Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Classification,HermiT_Classification,JFact_Classification,Konclude_Classification,Openllet_Classification,Pellet_Classification,KoncludeCLI_Classification,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Classification_LoadingAdded,HermiT_Classification_LoadingAdded,JFact_Classification_LoadingAdded,Konclude_Classification_LoadingAdded,Openllet_Classification_LoadingAdded,Pellet_Classification_LoadingAdded,KoncludeCLI_Classification_LoadingAdded
ore_ont_8042.owl,138,206,1043,889,386,494,9,1,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.7883,5.9047,,0.1389,3.7476,,0.1929,0.0083,0.0597,0.0119999999999999,0.0987,0.0287,,2.7966,5.9644,,0.23759999999999998,3.7763,,0.1929
ore_ont_14334.owl,139,206,1045,889,386,494,9,1,17,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.415,6.7746,,0.1506,2.5409,,0.2166,0.0088,0.0574,0.0113,0.0991,0.0278,,2.4238,6.832000000000001,,0.2497,2.5687,,0.2166
ore_ont_16312.owl,1192,0,2540,1343,1339,0,4,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0108,0.138,0.3016,0.0066,0.0262,0.0189,0.0447,0.0141999999999999,0.0524,0.0174,0.058,0.0344,0.0349,0.0249999999999999,0.1904,0.31899999999999995,0.0646,0.0606,0.0538,0.0447
ore_ont_8429.owl,852,67,2140,1237,1054,136,47,6,46,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0116,0.1225,0.2087,0.014,0.1234,0.0965999999999999,0.0545,0.0144,0.0593999999999999,0.016,0.0646,0.0375,0.0336,0.026,0.1818999999999999,0.2247,0.0786,0.1609,0.1301999999999999,0.0545
ore_ont_1406.owl,1192,0,2540,1343,1339,0,4,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0164,0.1387,0.2976,0.0065,0.0274,0.0199999999999999,0.045,0.0102,0.0557,0.0191,0.0597,0.0379,0.0305,0.026600000000000002,0.1944,0.3167,0.06620000000000001,0.0653,0.0504999999999999,0.045
ore_ont_4469.owl,131,89,1256,960,736,107,117,26,140,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0053,3.1911,0.1303,0.0125,0.2283,0.172,0.0422,0.0089,0.0728,0.0107999999999999,0.0598,0.0252,0.0291,0.0142,3.2639,0.1410999999999999,0.0723,0.2535,0.2011,0.0422
ore_ont_12084.owl,484,103,1659,1084,727,315,42,27,65,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0065,1.4704,0.1524,0.0072,0.0967,,0.0445,0.0125,0.0605,0.0138,0.066,0.0406,,0.019,1.5309,0.16620000000000001,0.0732,0.13729999999999998,,0.0445
ore_ont_6298.owl,121,0,1751,1263,862,0,401,8,360,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.009,182.9349,0.1314,0.0064,0.1594,0.1271,0.0354,0.0124999999999999,0.0960999999999999,0.0131,0.0582,0.0285,0.023,0.0214999999999999,183.031,0.1445,0.0646,0.18789999999999998,0.15009999999999998,0.0354
ore_ont_2338.owl,385,0,1255,866,866,0,0,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.005,0.0492,0.0668,0.0051,0.0233,0.0168,0.0315,0.0072,0.0419,0.0112,0.0505,0.0276,0.0232,0.012199999999999999,0.0911,0.078,0.055600000000000004,0.0509,0.039999999999999994,0.0315
ore_ont_16425.owl,368,245,1304,936,361,575,0,0,0,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0027,0.0454,0.113,0.0041,0.0373,0.0302,0.0357,0.0091,0.0289999999999999,0.0141999999999999,0.0532,0.0265,0.0293,0.011800000000000001,0.07439999999999991,0.1271999999999999,0.0573,0.0638,0.0595,0.0357
