Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization
ore_ont_4662.owl,8342,0,33367,25024,8339,16685,0,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,11.4608,1.0516,103.8133,0.0966,0.1375,0.1365,0.4896
ore_ont_257.owl,716,2871,16945,16189,924,15258,7,20,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.3768,,36.2772,0.0497,,,0.5563
ore_ont_13230.owl,680,2888,16963,16243,879,15357,7,20,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.3913,,37.4103,0.0508,,,0.558
ore_ont_12284.owl,7081,0,34884,27798,12531,15267,0,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,4.6132,1.1065,53.9555,0.0854,0.2082,0.1929,0.4809
ore_ont_11126.owl,12,297,21080,20979,149,20750,80,84,6,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.5861
ore_ont_2719.owl,7232,0,35670,28432,12772,15660,0,0,6,0,OWL2_DL - OWL2_FULL,OWL2_DL,4.989,1.1238,56.9289,0.0867,0.2302,0.1887,0.4934
ore_ont_9792.owl,5899,2465,25356,19279,8364,10889,26,0,178,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.9664,0.7764,8.9719,0.1236,0.3893,0.3688,0.4235
ore_ont_10080.owl,3535,161,32165,28509,28106,295,108,6,118,0,OWL2_DL - OWL2_FULL,OWL2_DL,,261.029,,0.4637,,,0.8004
ore_ont_8792.owl,9800,1,45349,35549,13044,22505,0,0,0,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.2392,1.1747,3.6113,0.1147,0.2476,0.1991,0.6057
ore_ont_10951.owl,334,4330,22425,22073,591,21476,6,0,19,0,OWL2_DL - OWL2_FULL,OWL2_DL,117.4175,7.6334,743.8733,0.0291,,,0.7454
ore_ont_5548.owl,8222,661,24064,15815,8765,7049,1,25,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_1743.owl,7236,15660,35675,28434,12774,15660,0,0,6,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,4.9305,1.0691,57.089,,6.1768,4.0879,0.6262
ore_ont_5368.owl,6104,6101,30571,24449,6148,18301,0,15,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.685,1.0944,26.1584,0.0554,0.3745,0.3374,0.5226
ore_ont_9577.owl,7782,7805,38329,29607,16481,12551,575,69,872,0,OWL2_DL - OWL2_FULL,OWL2_DL,46.8318,,,31.8786,,,33.1183
ore_ont_4775.owl,435,5180,27199,26744,773,25965,6,1,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,658.5483,8.4067,,0.0327,,,0.8542
ore_ont_13052.owl,8223,4666,36789,28536,13270,15265,1,28,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,2.5528
ore_ont_9739.owl,8022,22,46166,38119,16014,22079,26,0,25,0,OWL2_DL - OWL2_FULL,OWL2_DL,66.6628,,419.5427,0.3472,,,0.9627
ore_ont_239.owl,8022,22,46166,38119,16014,22079,26,0,25,0,OWL2_DL - OWL2_FULL,OWL2_DL,66.4873,,432.8402,0.349,,,0.9714
ore_ont_8441.owl,7802,22,50419,42596,19450,23122,24,0,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,7.1659,158.1204,139.3613,0.1303,1.0009,1.0783,0.7459
ore_ont_7174.owl,7802,22,50419,42596,19450,23122,24,0,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,7.3465,158.9264,138.55620000000002,0.1294,0.9671,0.9194,0.744
ore_ont_1954.owl,6993,7860,23125,16132,8272,7860,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0681,0.6803,2.3086,0.0701,0.3213,0.2917,0.4774
