Reasoners,Success,Total,OutOfMemory,Timeout,Other Error,Total Error,Inconstent Ontologies,Mean,Sum,Amean,Gmean,Max,Min,Amean_adjusted,Gmean_adjusted
KoncludeCLI,1914,1920,0,3,3,6,46,1.274250417972832,2438.9153000000006,12.520268385416667,0.14586559294504547,90.1131,0.0122,12.52026838541667,0.14586559294504547
Konclude,1911,1920,0,4,5,9,43,0.002531554160125615,4.83780000000005,16.87751968750004,0.002431656896708012,0.0846,0.0017,19.893706093749998,0.39083697355248787
HermiT,1881,1920,3,7,29,39,43,6.690622381711856,12585.060700000002,79.67971911458328,0.008116703665770355,1073.0313,0.0001,81.34842109374995,0.41615635989458455
Openllet,1818,1920,5,93,4,102,58,4.302130858085808,7821.273899999999,195.32358015624985,0.08697361261869213,1394.0821,0.0029,198.10859552083355,0.45736611732209326
Factpp,1800,1920,0,31,89,120,24,10.392072444444448,18705.730400000008,234.74256791666662,0.05277796265525422,1710.3911,0.0001,235.60370796874972,0.33457950961088556
JFact,1781,1920,0,110,29,139,69,24.464851094890516,43571.89980000001,283.31869781249986,0.5911186359431556,1646.8885,0.0108,284.06226760416666,0.9250672214517303
Pellet,1513,1920,3,84,320,407,33,3.9984582947785854,6049.667399999999,766.2758684375004,0.5159956367558209,1287.0018,0.0022,769.1465046874985,2.059324681106447
