Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading
ore_ont_6109.owl,6135,73,18368,12232,12163,69,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0804,0.2301,0.0685,0.3275,0.1494,0.1367
ore_ont_14587.owl,10433,0,24193,13760,13760,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0788,0.2813,0.0924,0.3332,0.1894,0.1682
ore_ont_16610.owl,2796,0,13517,10714,10712,0,2,0,7,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0452,0.1919,0.0406,0.3324,0.1347,0.1376
ore_ont_16299.owl,12151,0,24089,11937,11937,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0788,0.2641,0.0904,0.2992,0.1704,0.1325
ore_ont_7218.owl,2674,0,12723,10044,10042,0,2,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0501,0.183,0.0407,0.3147,0.1162,0.1153
ore_ont_15363.owl,2265,6868,16971,14703,7833,6868,2,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0764,0.2214,0.0876,0.4106,0.1806,0.1447
ore_ont_3529.owl,5879,0,13362,7478,3132,4346,0,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0783,0.5398,0.0805,0.4293,0.1154,0.1118
ore_ont_4610.owl,5946,0,16864,10916,10916,0,0,0,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0607,0.2176,0.0594,0.3511,0.162,0.1481
ore_ont_4460.owl,10549,0,24381,13832,13832,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0798,0.2678999999999999,0.0864,0.3327,0.1976,0.1629
ore_ont_3781.owl,5949,0,17258,11307,10916,391,0,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0623,0.2196,0.0662,0.354,0.149,0.1453
ore_ont_7499.owl,5109,149,17035,11821,11483,223,115,0,106,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0558,0.3094,0.064,0.5075,0.1583999999999999,0.1884
ore_ont_7356.owl,5953,391,17263,11309,10918,391,0,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0726,0.2195,0.0676,0.36,0.1664,0.1802
ore_ont_11878.owl,13125,0,19789,6656,6648,0,8,0,9,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0779,0.244,0.1053,0.307,0.1831,0.131
ore_ont_10425.owl,19,290,12656,12566,173,12339,54,62,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0531,0.1007,0.0211,0.4462,0.1541,
ore_ont_904.owl,5554,0,12061,6413,6359,0,54,4,91,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0488,0.1881,0.0573,0.199,0.1178,0.1195
ore_ont_4567.owl,4265,3573,19191,14450,8271,5949,230,49,428,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.074,0.2657,0.0852,0.5307,0.2253,
ore_ont_5695.owl,427,2394,13166,12716,762,11948,6,1,23,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0417,0.1989,0.0476,0.7794,0.1069,0.1196
ore_ont_10384.owl,3832,0,23394,19558,7277,12278,3,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0979,0.1871,0.0996,0.5123,0.1061,0.1024
ore_ont_2624.owl,3832,0,23394,19558,7277,12278,3,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0931,0.1898,0.0972,0.5075,0.1065,0.1136
ore_ont_11896.owl,3710,0,14066,10355,10355,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.069,0.1925,0.053,0.3401,0.1214,0.127
ore_ont_22.owl,2208,0,20920,18698,4059,14635,4,0,14,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0727,0.1735,0.1,0.5096,0.0818,0.0866
ore_ont_11140.owl,3710,0,14066,10355,10355,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0528,0.1938,0.0524,0.3496,0.1241,0.1319
