Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Realization_LoadingAdded,HermiT_Realization_LoadingAdded,JFact_Realization_LoadingAdded,Konclude_Realization_LoadingAdded,Openllet_Realization_LoadingAdded,Pellet_Realization_LoadingAdded,KoncludeCLI_Realization_LoadingAdded
ore_ont_3839.owl,6602,0,18555,11953,6603,5350,0,0,0,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0409,0.7424,0.7837000000000001,0.074,0.2426,0.1968,0.2548,0.0665,0.1936999999999999,0.0917999999999999,0.3051,0.1288,0.1067,0.1074,0.9360999999999998,0.8755,0.3791,0.3714,0.3035,0.2548
ore_ont_9257.owl,6602,0,18555,11953,6603,5350,0,0,0,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0385,0.7501,0.7353000000000001,0.0736,0.2322,0.1824,0.2557,0.0739,0.2046,0.0972,0.3085,0.1283,0.1053,0.1124,0.9547,0.8325,0.3821,0.3605,0.2877,0.2557
ore_ont_10608.owl,2377,8082,14918,12537,4453,8082,2,0,4,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.1055,0.4331,6.7462,0.0312,0.4277,0.4437,0.2706,0.0861,0.2028,0.0941999999999999,0.3356,0.1709,0.1384,0.1916,0.6359,6.8404,0.3668,0.5986,0.5821,0.2706
ore_ont_10991.owl,2370,7989,14796,12423,4432,7989,2,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.1032,0.4465,6.7333,0.0305,0.2514,0.193,0.2633,0.0744,0.1905,0.1038,0.3281,0.171,0.13,0.17759999999999998,0.637,6.8370999999999995,0.35860000000000003,0.4224,0.323,0.2633
ore_ont_14258.owl,1913,3,19299,17382,2598,14780,4,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.1325,10.0226,9.4187,0.0618,0.0605,0.0666,0.2596,0.0751,0.1225,0.1043,0.408,0.0635999999999999,0.0809,0.2076,10.145100000000001,9.523,0.4698,0.1240999999999999,0.14750000000000002,0.2596
ore_ont_7488.owl,1672,10772,14772,13074,2282,10772,20,0,26,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0774,0.3287,6.4591,0.0528,0.2072,0.2531,0.2976,0.0712,0.177,0.0951,0.3377,0.1849,0.1139,0.1486,0.5057,6.554200000000001,0.3905,0.3921,0.367,0.2976
ore_ont_13124.owl,3779,0,16809,13026,7165,5858,3,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.167,1.5708,7.8636,0.045,0.6278,0.5942,0.227,0.0679,0.1779,0.0835,0.362,0.1151,0.1155,0.2349,1.7487,7.9471,0.407,0.7429,0.7097,0.227
ore_ont_5841.owl,5703,1466,16745,10788,9109,1480,199,39,215,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.2145,5.3184000000000005,7.6711,0.0999,0.3989,0.3637,0.2742,0.0637,0.2307,0.0825999999999999,0.2724,0.1679,0.146,0.2782,5.5491,7.7537,0.37229999999999996,0.5668,0.5097,0.2742
ore_ont_7195.owl,2878,9,19474,16591,5310,11276,5,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.1538,5.524,10.7622,0.0366999999999999,0.3452,0.2724,0.2649,0.0774,0.152,0.0914,0.4329,0.0994,0.0957,0.2312,5.676,10.8536,0.4695999999999999,0.4446,0.3681,0.2649
ore_ont_16453.owl,1867,0,18671,16802,2732,14069,1,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,1.0679,2.9281,15.7977,0.0209,0.1858,0.1608,0.2621,0.077,0.1295,0.0895,0.4508,0.0692,0.0811,1.1449,3.0576000000000003,15.8872,0.47169999999999995,0.255,0.2419,0.2621
