Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp,HermiT,JFact,Konclude,Openllet,Pellet,KoncludeCLI
ore_ont_7373.owl,433,0,958,523,521,0,2,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_7663.owl,305,3,1019,714,297,417,0,0,0,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_11526.owl,137,19,727,429,272,21,136,0,161,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_8369.owl,127,21,671,393,252,15,126,0,151,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_16535.owl,93,25,476,350,260,63,27,0,34,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_3292.owl,142,6,732,426,282,3,141,0,164,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_9088.owl,195,2,668,369,211,16,142,7,97,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_11392.owl,122,123,625,501,131,369,1,0,4,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_430.owl,124,48,690,420,246,51,123,0,146,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_14175.owl,100,190,658,463,269,181,13,0,97,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.003,0.0688,0.0861,0.0185,0.0877,0.0843,0.0416
ore_ont_4382.owl,358,0,791,431,430,0,1,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_1898.owl,34,56,625,522,195,316,11,46,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,0.059,IE,0.0096,0.0322,OE,0.0365
ore_ont_14341.owl,178,42,715,465,233,126,106,0,73,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_5932.owl,200,105,719,492,191,279,22,0,29,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0018,0.2106,0.0733,0.0097,0.0316,0.0279,0.0355
ore_ont_12415.owl,8,71,628,420,180,64,176,0,201,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_2237.owl,131,31,703,418,260,28,130,0,154,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_4133.owl,290,50,757,456,345,110,1,0,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0025,0.2214,0.0706,0.0093,0.0651,0.0502,0.0322
ore_ont_13872.owl,159,48,813,522,207,112,203,0,133,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.133,0.4632,0.7199,0.0293,0.2137,0.2039,0.0546
ore_ont_85.owl,32,56,654,554,246,297,11,45,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,0.0569,0.0833,0.0094,0.039,OE,0.0374
