Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Classification,HermiT_Classification,JFact_Classification,Konclude_Classification,Openllet_Classification,Pellet_Classification,KoncludeCLI_Classification
ore_ont_9767.owl,37251,11,371804,334546,68453,266084,9,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL,,6.0532,,0.4487,4.8772,4.7458,6.4696
ore_ont_5418.owl,37253,11,372023,334762,68652,266101,9,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,,6.0636,,0.4499,5.0769,5.0216,6.3857
ore_ont_10140.owl,83036,0,256705,173658,173652,0,6,0,11,0,OWL2_DL - OWL2_FULL,OWL2_DL,,554.7292,,1.6059,,,6.9708
ore_ont_6896.owl,81357,0,256572,175186,175163,0,23,0,29,0,OWL2_DL - OWL2_FULL,OWL2_DL,275.3216,6.9953,,0.5729,1173.7506,1425.5532,4.0117
ore_ont_4952.owl,66795,0,212445,145556,145466,0,90,0,94,0,OWL2_DL - OWL2_FULL,OWL2_DL,325.299,5.7109,,0.5102,,1137.6778,3.8216
ore_ont_8145.owl,15555,0,183517,167961,167961,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,19.9635,2.092,99.8708,0.1598,0.76,0.7208,2.2717
ore_ont_15125.owl,15559,0,183522,167963,167963,0,0,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,19.6731,2.0639,97.1018,0.1594,0.804,0.7396,2.2872
ore_ont_16428.owl,84150,0,259223,175062,175056,0,6,0,12,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,98.7442,,0.9169,185.3797,278.9153,5.3461
ore_ont_4598.owl,41617,20,393056,351412,73968,277427,17,0,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,,14.4263,,0.504,5.6182,5.9183,6.6925
ore_ont_8982.owl,86820,0,282397,195547,195524,0,23,0,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,168.2272,7.2803,,0.6675,818.7269,861.4005,4.76
ore_ont_9413.owl,86939,0,283140,196166,196137,0,29,0,36,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,15.8138,,0.7042,2.7416,2.6921,4.5685
ore_ont_8194.owl,30334,7,398086,367671,49301,318292,78,0,81,0,OWL2_DL - OWL2_FULL,OWL2_DL,,10.9446,,1.0763,45.9076,32.547,7.0218
ore_ont_8475.owl,74260,1283,303499,228880,227765,1085,30,0,361,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
