Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Classification,HermiT_Classification,JFact_Classification,Konclude_Classification,Openllet_Classification,Pellet_Classification,KoncludeCLI_Classification
ore_ont_9805.owl,44,0,137,62,62,0,0,0,32,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0006000000000000001,0.0203,0.0317,0.003,0.017,0.0153999999999999,0.0171
ore_ont_2936.owl,10,0,156,112,112,0,0,23,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0259,0.0293,0.0041,0.0151,0.0166,0.0181
ore_ont_11949.owl,56,0,179,79,79,0,0,13,31,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0005,0.0255999999999999,0.0346,0.003,0.0202,0.0185,0.0172
ore_ont_8662.owl,38,0,146,69,51,0,18,0,40,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.0343,0.024,0.0028,0.0251,0.0215999999999999,0.0172
ore_ont_15971.owl,17,10,107,67,44,14,9,0,23,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0005,0.0306999999999999,0.023,0.0036,0.0133,0.0139,0.0168
ore_ont_8937.owl,39,0,161,84,72,0,12,0,40,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0007,0.0228,0.0348,0.0034,0.0251,0.0209,0.018
ore_ont_580.owl,22,18,139,73,52,21,0,0,45,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0004,0.0224,0.0353,0.0037,0.0181,0.0158999999999999,0.0174
ore_ont_9509.owl,79,5,174,86,81,5,0,0,10,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0164999999999999,0.0243,0.0034,0.0117,0.0105,0.0173
ore_ont_7839.owl,21,0,181,119,109,0,10,12,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0007,0.034,0.0358,0.0029,0.0167,0.0156,0.0173
ore_ont_10309.owl,10,0,113,55,55,0,0,0,49,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0219,0.0292,0.0029,0.0203,0.0167,0.017
ore_ont_13503.owl,43,11,141,70,59,11,0,0,29,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.022,0.0305,0.0048,0.0189,0.014,0.0188
ore_ont_480.owl,67,4,172,89,85,4,0,0,17,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0171,0.0235,0.0029,0.019,0.0169,0.0173
ore_ont_14746.owl,17,0,202,135,123,0,12,18,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.036,0.0347,0.0031,0.0154,0.0121999999999999,0.0178
ore_ont_15331.owl,20,0,208,138,126,0,12,18,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0005,0.0357,0.0302,0.0029,0.0139,0.0134,0.0178
ore_ont_1420.owl,42,0,158,81,77,0,4,0,36,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0006000000000000001,0.0246,0.029,0.0031,0.0148,0.0138,0.0177
ore_ont_1526.owl,41,8,152,75,67,8,0,1,36,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0005,0.0242,0.0316,0.0044,0.018,0.0243,0.0189
ore_ont_4856.owl,61,1,177,77,76,1,0,0,41,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0009,0.0263,0.0481,0.0032,0.0358,0.0367,0.0181
ore_ont_2485.owl,5,3,226,113,110,3,0,107,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0012,0.0388,0.0485,0.0029,0.0119,0.0122,0.0173
ore_ont_5107.owl,50,24,182,126,102,24,0,0,7,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0027,0.1372,0.0568,0.0316,0.0954,0.1144,0.0383
ore_ont_7639.owl,15,0,218,141,123,0,18,27,36,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0008,0.0361,0.0414999999999999,0.003,0.0191,0.0178,0.0177
ore_ont_13429.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0004,0.0147999999999999,0.0167,0.0031,0.0065,0.0061,0.0174
ore_ont_9854.owl,61,0,170,96,96,0,0,0,14,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0004000000000000001,0.0169999999999999,0.0201,0.0028,0.0096,0.0105,0.018
ore_ont_15167.owl,53,0,335,206,177,0,29,20,58,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0027,0.0432,0.0655,0.0109,0.041,0.052,0.0272
ore_ont_13306.owl,40,0,195,99,89,0,10,8,49,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.001,0.03,0.047,0.0047,0.0274,0.0282,0.0194
ore_ont_5292.owl,70,18,193,88,57,18,13,3,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.0361,0.0331,0.0032,0.0207,0.0225,0.0181
ore_ont_5255.owl,89,0,207,115,112,0,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0008,0.0229,0.029,0.0032,0.0205,0.0238,0.0182
ore_ont_8667.owl,87,0,167,79,79,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0151999999999999,0.0218,0.0033,0.0069,0.0054,0.0178
ore_ont_8974.owl,15,0,157,95,95,0,0,0,49,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0012,0.0209999999999999,0.0368999999999999,0.0027,0.0205,0.0226,0.0182
ore_ont_3330.owl,50,0,193,116,110,0,6,11,17,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0009,0.029,0.0348,0.0031,0.0262,0.0258,0.0183
ore_ont_1967.owl,59,0,199,97,97,0,0,0,44,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0255,0.0351,0.0031,0.0182,0.0163,0.0178
ore_ont_15399.owl,59,0,199,97,97,0,0,0,44,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.027,0.0297,0.0029,0.0175,0.0169999999999999,0.0182
ore_ont_5852.owl,74,0,134,60,60,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0004,0.0131,0.0175999999999999,0.003,0.0073,0.0042,0.0176
ore_ont_10174.owl,133,0,266,133,133,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0006000000000000001,0.0174,0.0194,0.0033,0.0067,0.0048,0.0183
ore_ont_13392.owl,124,0,265,136,132,0,4,0,5,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0004,0.0177,0.0328,0.0029,0.0083,0.0062,0.0186
ore_ont_3671.owl,17,1,282,182,145,3,34,25,59,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.0629,0.0411,0.0031,0.0198,0.0233,0.018
ore_ont_3909.owl,76,0,139,62,62,0,0,0,2,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0008,0.0127999999999999,0.02,0.0032,0.0063,0.0062,0.0174
ore_ont_2036.owl,64,5,203,94,89,5,0,0,46,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0007,0.0278,0.0336,0.0029,0.0375,0.0289999999999999,0.0184
ore_ont_508.owl,66,5,205,95,90,5,0,0,46,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0007,0.0282,0.0349,0.0029,0.0357,0.031,0.0183
ore_ont_9867.owl,94,0,239,137,134,0,3,0,8,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0011,0.0197,0.0308999999999999,0.0032,0.0077,0.007,0.018
ore_ont_16351.owl,71,0,194,98,98,0,0,0,26,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0007,0.0224,0.0255,0.0031,0.015,0.0172,0.0183
ore_ont_12957.owl,99,0,195,94,94,0,0,0,2,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0004,0.0149,0.0245,0.0028,0.018,0.0192,0.0186
ore_ont_15318.owl,59,0,229,124,105,0,19,30,16,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0371,0.0258,0.0032,0.0161,0.0183,0.0181
ore_ont_6635.owl,44,2,245,158,156,2,0,11,31,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,0.0417,0.0035,0.0293,0.0386,0.0193
ore_ont_16850.owl,37,0,205,129,119,0,10,20,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.026,0.0344999999999999,0.003,0.0161,0.0226,0.0177
ore_ont_4106.owl,56,0,224,127,117,0,10,0,42,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0009,0.0369,0.0389,0.003,0.0224,0.0251,0.0186
ore_ont_2038.owl,51,0,284,232,128,103,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0008,0.013,0.0414999999999999,0.0029,0.0091,0.0086,0.0186
ore_ont_3842.owl,98,0,200,96,96,0,0,0,6,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0186,0.0267999999999999,0.0033,0.0077,0.0086,0.0182
ore_ont_9709.owl,24,13,233,175,102,35,38,26,11,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0005,0.0291,0.0297,0.0027,0.0139,0.0147,0.0183
ore_ont_13204.owl,35,0,215,180,180,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0006000000000000001,0.0076,0.0196,0.0031,0.01,0.0092,0.0175
ore_ont_10321.owl,13,5,150,94,90,4,0,32,12,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0007,0.0224,0.0348,0.0031,0.0161,0.0141,0.0175
ore_ont_12360.owl,28,8,325,210,157,18,35,27,61,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.0711,0.0409,0.0031,0.0209,0.0197,0.0185
ore_ont_5646.owl,113,0,257,138,132,0,6,0,6,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.001,0.0232,0.0337,0.0034,0.0143,0.0133,0.0191
ore_ont_13277.owl,72,0,182,87,86,0,1,0,24,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.0006000000000000001,0.0311,0.0265,0.0038,0.0298,0.0235,0.0183
ore_ont_9600.owl,92,0,259,136,113,0,23,1,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0417,0.038,0.0068,0.0276,,0.0224
ore_ont_3341.owl,15,0,194,139,135,0,4,40,0,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0005,0.0221,0.0326,0.0033,0.0178,0.0161,0.0176
ore_ont_8169.owl,133,0,290,155,154,0,1,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0011,0.02,0.0334,0.0037,0.0093,0.0066999999999999,0.0194
ore_ont_14931.owl,104,17,288,172,149,17,6,4,9,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0016,0.0455,0.0476,0.0049,0.0366,0.0348,0.0216
ore_ont_6461.owl,53,0,318,264,135,128,1,0,1,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0015,0.0117,0.0414,0.0034,0.0107,0.008,0.0191
ore_ont_10019.owl,48,0,202,150,141,0,9,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0063,0.0575,0.0895,0.0268,0.3687,2.1071,0.0422
ore_ont_14128.owl,82,0,198,94,94,0,0,0,24,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0008,0.0208,0.0318,0.0032,0.0134,0.0144999999999999,0.0186
ore_ont_8128.owl,44,0,307,152,152,0,0,0,112,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0014,0.0423,0.0493,0.0032,0.0319,0.0372,0.019
ore_ont_15667.owl,25,24,259,201,114,78,9,14,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.001,0.0398,0.0462,0.0034,0.0219,,0.0205
ore_ont_4855.owl,127,0,251,124,124,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0002,0.0167,0.0271,0.0037,0.0066,0.0055,0.0186
ore_ont_7482.owl,63,0,178,115,115,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0009,0.0107,0.0211,0.0035,0.0071,0.0076,0.0179
ore_ont_16076.owl,189,0,376,186,186,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0005,0.0232,0.0252,0.0035,0.0097,0.0082,0.0199
ore_ont_7270.owl,85,0,206,99,99,0,0,0,24,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0009,0.0221,0.0319,0.0033,0.0145,0.0132,0.0191
ore_ont_14328.owl,79,0,267,148,124,0,24,0,42,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0015,0.0305,0.0443,0.0035,0.0193,0.0187,0.0196
ore_ont_16461.owl,92,0,237,130,117,0,13,0,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0027,0.023,0.0475,0.0056,0.0494,0.0694,0.0215
ore_ont_15800.owl,192,0,385,193,193,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0006000000000000001,0.022,0.0186,0.0037,0.0083,0.0082,0.0199
ore_ont_9635.owl,97,3,294,171,160,6,5,6,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0015,0.027,0.0422,0.007,0.0328,0.0278999999999999,0.023
ore_ont_13018.owl,176,0,351,175,175,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0009,0.022,0.0299,0.0035,0.0075,0.0055,0.0193
ore_ont_16167.owl,40,0,228,142,137,0,5,17,30,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0007,0.033,0.0298999999999999,0.0033,0.0196,0.0174,0.0183
ore_ont_11834.owl,36,0,311,229,145,0,84,0,46,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0025,0.1783,0.0596,0.0057,0.0292,0.0342,0.0207
ore_ont_9422.owl,49,0,226,148,112,0,36,5,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0015,0.0465,0.0407,0.0047,0.0274,0.0328,0.0201
ore_ont_1222.owl,42,0,320,238,234,0,4,7,34,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0016,0.0286,0.0448,0.0067,0.0302,0.0313,0.0226
ore_ont_13643.owl,176,0,357,181,181,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.023,0.0188,0.0037,0.0095,0.0105,0.0196
ore_ont_15210.owl,31,7,341,224,132,5,87,6,81,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0025,0.1308,0.0438,0.0031,0.0296,0.0349999999999999,0.0193
ore_ont_11357.owl,44,0,287,197,194,0,3,24,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0013,0.0369,0.0439,0.0043,0.0368,0.0382,0.02
ore_ont_13483.owl,48,4,220,133,128,2,3,26,14,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0007,0.0247,,0.0044,0.0242,0.0238,0.019
ore_ont_8047.owl,16,2,274,211,208,3,0,27,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0004,0.0242,0.0355,0.0033,0.0138,0.0165,0.0188
ore_ont_9994.owl,28,43,289,205,151,52,2,32,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0011,0.0283999999999999,0.0456,0.0033,0.0199,0.0231,0.019
ore_ont_1618.owl,36,0,216,144,141,0,3,23,14,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0011,0.0515,0.0412999999999999,0.0036,0.0295,0.0373,0.0186
ore_ont_7464.owl,32,1,239,160,155,1,4,27,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0008,0.0346,0.0385,0.0038,0.022,0.0238,0.019
ore_ont_6735.owl,214,0,427,213,213,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0007,0.0294,0.0204999999999999,0.0036,0.0092,0.009,0.0203
ore_ont_10176.owl,171,0,278,104,104,0,0,0,3,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0153,0.0261,0.0893,0.004,0.0157,0.0135,0.0212
ore_ont_15229.owl,93,0,221,123,118,0,5,2,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0021,0.0208,0.0364,0.0042,0.035,,0.0201
ore_ont_12101.owl,33,1,243,162,157,1,4,27,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.001,0.0387,0.0404,0.0035,0.022,0.0243,0.0191
ore_ont_14486.owl,117,0,245,128,128,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0004,0.0171,0.0174,0.0039,0.0095,0.0072,0.019
ore_ont_8094.owl,45,0,297,212,162,0,50,0,41,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0014,0.0655,0.0419,0.0059,0.0325,0.0305,0.0217
ore_ont_714.owl,23,7,302,227,131,9,79,9,44,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0011,,0.0403,0.0068,0.0341,,0.019
ore_ont_10264.owl,63,0,325,186,124,0,62,0,76,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0009,0.035,0.0345,0.0035,0.0266,0.0211,0.019
ore_ont_13737.owl,69,58,315,206,130,58,18,6,35,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0025,0.1425,0.0650999999999999,0.0107,0.0492,0.054,0.0296
ore_ont_5696.owl,124,0,382,258,258,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0007,0.0181,0.0272,0.0034,0.0111,0.0083,0.0193
ore_ont_3806.owl,116,19,334,213,189,21,3,0,6,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0056,0.066,0.0906,0.0129,0.064,0.0526,0.0311
ore_ont_3504.owl,52,2,242,148,125,0,23,7,35,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0017,0.028,0.0419,0.0053,0.0372,0.0299,0.0219
ore_ont_2652.owl,93,0,352,209,143,0,66,0,51,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.001,0.1778,0.04,0.0035,0.0535,0.0531,0.0209
ore_ont_2654.owl,172,1,390,217,216,1,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0006000000000000001,0.0216999999999999,0.0311,0.0037,0.0151,0.0155,0.0203
ore_ont_3250.owl,87,3,252,157,142,6,9,0,9,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0027,0.0417,0.0494,0.0124,0.0503,0.0513,0.0293
ore_ont_8335.owl,116,0,426,305,132,166,7,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0021,0.032,0.0707,0.0035,0.0239,0.0285,0.0212
ore_ont_2775.owl,116,0,426,305,132,166,7,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0025,0.0278,0.0615,0.0036,0.022,0.0256,0.0214
ore_ont_3082.owl,121,0,241,120,120,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0003,0.0173,0.0178,0.0033,0.0067,0.0066,0.0185
ore_ont_9031.owl,197,0,419,216,216,0,0,0,6,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0017,0.0291,0.0464,0.0034,0.0102,0.0096,0.0206
ore_ont_8665.owl,148,0,390,234,227,0,7,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0014,0.0275,0.0423,0.0038,0.0302,0.0349,0.0204
ore_ont_16827.owl,80,99,442,269,166,103,0,0,93,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0016,0.0424999999999999,0.0664,0.0035,0.0398,0.0482,0.0202
ore_ont_11380.owl,128,0,409,218,162,0,56,0,63,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0016,0.0543,0.0528,0.0034,0.0332,0.0416,0.021
ore_ont_13759.owl,140,0,313,154,149,0,5,9,10,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,0.0008,0.0316,0.024,0.0034,0.0212,0.0260999999999999,0.0198
ore_ont_2012.owl,72,0,368,225,103,0,122,3,69,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0016,0.201,0.0437,0.0045,0.1355,0.174,0.0216
ore_ont_7517.owl,79,41,241,149,96,45,8,5,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0034,0.0354,0.0658,0.0078,0.0596,0.0586,0.0253
ore_ont_13530.owl,234,0,470,235,235,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0019,0.0286,0.0341,0.0034,0.0092,0.0083,0.021
ore_ont_10413.owl,69,2,361,205,136,1,68,0,87,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0009,0.0331,0.04,0.003,0.0406,0.033,0.0198
ore_ont_4724.owl,67,0,350,198,132,0,66,0,85,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0009,0.0338,0.0386,0.003,0.0312,0.031,0.0196
ore_ont_4223.owl,75,0,213,128,113,0,15,0,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0022,0.034,0.0409,0.0034,0.0424,0.0406,0.0192
ore_ont_12906.owl,80,0,168,88,88,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0006000000000000001,0.0139,0.0163999999999999,0.0034,0.0067,0.0047,0.019
ore_ont_14588.owl,26,47,298,237,122,105,10,16,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0008,0.0256,0.0452,0.0035,0.0274,,0.0221
ore_ont_15993.owl,26,0,334,241,128,0,94,3,68,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0028,,,0.0152,,,0.0203
ore_ont_3463.owl,123,0,245,122,122,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0005,0.0186,0.019,0.0033,0.0067,0.005,0.0189
ore_ont_5303.owl,95,0,336,234,224,0,10,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0306,0.9025,0.228,0.0768,0.5235,0.3665,0.0824
ore_ont_12118.owl,8,8,307,190,94,6,90,0,110,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0012,0.0349999999999999,0.0377,0.0032,0.0458,0.0537,0.02
ore_ont_12948.owl,34,32,322,242,148,74,20,26,21,0,OWL2_DL - OWL2_FULL,OWL2_DL,,0.0284,,0.0033,0.0206,0.023,0.0215
ore_ont_11895.owl,123,13,309,182,156,26,0,2,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0014,0.0613999999999999,0.0393,0.0043,0.0308,0.0312,0.021
ore_ont_14412.owl,36,0,383,290,191,0,99,3,54,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0036,0.3797,0.0523999999999999,0.0055,0.0339,0.0337,0.0218
ore_ont_5090.owl,144,0,384,237,237,0,0,0,3,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0022,0.0252,0.0385999999999999,0.004,0.0104,0.0097,0.0201
ore_ont_10536.owl,8,10,307,191,94,7,90,0,109,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0015,0.0385,0.0385,0.0032,0.046,0.0545,0.0197
ore_ont_7969.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.00030000000000000003,0.0151,0.017,0.0037,0.0067,0.0074,0.0186
ore_ont_2876.owl,82,0,179,93,93,0,0,0,5,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0004,0.0159,0.0201,0.0034,0.0079,0.0081,0.0191
ore_ont_1524.owl,106,100,435,321,117,200,4,6,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.002,0.0231,0.0537,0.0036,0.0254,0.0275,0.0222
ore_ont_15145.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0004,0.0131,0.0163999999999999,0.0036,0.0067,0.0059,0.0184
ore_ont_2697.owl,88,0,186,98,98,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0004,0.0136,0.0172,0.0032,0.007,0.0068,0.0187
ore_ont_11866.owl,69,2,357,205,136,1,68,0,83,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0008000000000000001,0.0339,0.0486,0.0034,0.0387,0.0371,0.0193
ore_ont_3775.owl,66,0,425,278,277,0,1,63,18,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0009,0.0451,0.0407999999999999,0.0035,0.0244,0.0219,0.0201
ore_ont_9462.owl,104,128,455,350,221,128,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0009,0.018,0.0513,0.004,0.0178,0.0181,0.0211
ore_ont_8666.owl,82,125,347,249,111,137,1,4,13,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0021,0.0344,0.0652,0.0233,0.1253,0.1113,0.0427
ore_ont_7962.owl,34,2,346,237,225,6,6,41,35,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0012,0.0574,0.0569999999999999,0.0037,0.0347,0.0329,0.021
ore_ont_1997.owl,94,0,334,233,223,0,10,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0286,0.8456,0.2429,0.0739,0.3028,0.3713,0.086
ore_ont_4897.owl,143,0,432,255,217,0,38,0,34,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0055,0.0378,0.074,0.0072,0.0425,0.0398,0.0243
ore_ont_11133.owl,167,0,425,249,247,0,2,0,9,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.002,0.0291,0.0510999999999999,0.0036,0.0109,0.0105,0.0205
