Reasoners,Success,Total,OutOfMemory,Timeout,Inconsistent Error,Other Error,Total Error,Mean,Sum,Amean,Gmean,Max,Min,Amean_adjusted,Gmean_adjusted
KoncludeCLI,617,624,0,3,0,4,7,2.444607131280388,1508.3225999999993,42.80179903846154,0.44191085714275247,69.9581,0.0202,42.80179903846156,0.4419108571427524
Konclude,591,624,0,3,25,5,33,0.5082512690355331,300.3765,190.86598798076935,0.1451159536728761,54.2091,0.005,194.07008878205144,1.1049820223555284
HermiT,512,624,2,68,25,17,112,76.04476210937494,38934.91819999997,708.549548397436,15.44313997640127,1558.9707,0.0212,709.4181014423078,18.038499457083407
Openllet,488,624,8,84,36,8,136,27.916545286885246,13623.2741,806.4475546474364,5.2419618641596175,789.4081,0.0117,807.055186217949,7.290812315377388
Factpp,471,624,0,79,14,60,153,32.502346496815285,15308.605199999998,907.2253288461538,1.6168841866094545,1172.0626,0.0009,907.5253876602562,3.544895235578334
JFact,439,624,1,140,36,8,185,81.49167175398634,35774.8439,1124.6391729166662,18.653780467934457,1709.0091,0.0332999999999999,1124.8509971153844,20.085556471844058
Pellet,339,624,5,81,22,177,285,32.06164306784661,10868.897,1661.6488733974354,31.029015829807623,1191.5126,0.008,1662.1693897435898,41.96588621648962
