Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Consistency,HermiT_Consistency,JFact_Consistency,Konclude_Consistency,Openllet_Consistency,Pellet_Consistency,KoncludeCLI_Consistency,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Consistency_LoadingAdded,HermiT_Consistency_LoadingAdded,JFact_Consistency_LoadingAdded,Konclude_Consistency_LoadingAdded,Openllet_Consistency_LoadingAdded,Pellet_Consistency_LoadingAdded,KoncludeCLI_Consistency_LoadingAdded
ore_ont_14878.owl,3562,1226,10621,6723,4873,1663,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0212,0.0283,0.2189,0.0023,0.0796,,0.1729,0.0462,0.1835,0.06,0.2512,0.1122,0.1131,0.0674,0.2118,0.27890000000000004,0.2535,0.1918,,0.1729
ore_ont_5943.owl,3539,1226,10603,6727,4846,1694,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0205,0.0272,0.2281,0.0022,0.077,,0.1741,0.0478,0.1739,0.0578,0.256,0.1155,0.1122,0.0683,0.2011,0.2859,0.2582,0.1925,,0.1741
ore_ont_4092.owl,3535,1226,10597,6726,4840,1699,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0208,0.0277,0.2309,0.0023,0.0759,,0.174,0.0466,0.183,0.053,0.2444,0.1134,0.1094,0.0674,0.2107,0.2839,0.2467,0.1893,,0.174
ore_ont_15355.owl,2147,7568,12571,10397,2805,7568,24,0,28,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0244,0.0124,0.1511,0.002,0.1419,0.14,0.153,0.0614,0.1628,0.0953,0.2846,0.1612,0.1066,0.0858,0.1752,0.2464,0.2866,0.30310000000000004,0.2466,0.153
ore_ont_6060.owl,3546,1226,10619,6737,4875,1675,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.029,0.0278,0.2277,0.0023,0.0761,,0.1739,0.0629,0.1786,0.0541,0.2493,0.1172,0.1059,0.0919,0.2064,0.2818,0.2516,0.1933,,0.1739
ore_ont_2548.owl,2566,1887,7263,4653,2706,1902,45,9,35,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0266,0.0470999999999999,0.4173,0.0021,,,0.1961,0.0439,0.1414,0.0545,0.2722,0.1384,0.1087,0.07050000000000001,0.1884999999999999,0.4718,0.2743,,,0.1961
ore_ont_5298.owl,3555,1226,10630,6739,4866,1686,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0215,0.0266999999999999,0.2271,0.0022,0.0785,,0.173,0.047,0.1837,0.0624,0.2619,0.1153,0.1075,0.0685,0.2103999999999999,0.2895,0.2641,0.1938,,0.173
ore_ont_14237.owl,3538,1226,10618,6744,4846,1711,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0229,0.0276,0.2368,0.0023,0.0826,,0.1727,0.0508,0.1852,0.0547,0.2655,0.1252,0.1061,0.0737,0.2128,0.2915,0.26780000000000004,0.2078,,0.1727
ore_ont_13679.owl,3044,1152,10345,6760,4192,2183,385,32,510,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0255,0.0544,0.2681,0.0025,0.0674,,0.1773,0.0509,0.1846,0.0569,0.263,0.1232999999999999,,0.0764,0.239,0.325,0.2655,0.1906999999999999,,0.1773
ore_ont_990.owl,3543,1247,10612,6732,4847,1698,187,29,309,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0224,0.0260999999999999,0.2392,0.0022,0.0762,,0.1721,0.048,0.1808,0.0569,0.2474,0.1151,0.1073,0.0704,0.2068999999999999,0.2961,0.24960000000000002,0.1913,,0.1721
ore_ont_290.owl,3041,1166,10338,6764,4196,2186,382,33,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.024,0.0525,0.285,0.0022,0.0735,,0.1775,0.0453,0.1744,0.0562,0.2619,0.1119,,0.0693,0.2269,0.34119999999999995,0.2641,0.1854,,0.1775
ore_ont_7014.owl,3535,1226,10640,6769,4842,1740,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0227,0.0269,0.2256,0.002,0.0793,,0.1747,0.0558,0.1799,0.0674,0.2593,0.1195,,0.0785,0.2068,0.293,0.2613,0.19879999999999998,,0.1747
ore_ont_7237.owl,3535,1226,10641,6770,4838,1745,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0234,0.0236,0.2496,0.0022,0.0684,,0.173,0.0538999999999999,0.1809,0.0586,0.2497,0.1281,,0.0772999999999999,0.20450000000000002,0.3082,0.2519,0.1965,,0.173
ore_ont_770.owl,3535,1226,10641,6770,4838,1745,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0239,0.0258,0.2409,0.002,0.0682,,0.1738,0.0525,0.1732,0.0555,0.2519,0.1244,,0.0764,0.19899999999999998,0.2964,0.2539,0.1926,,0.1738
ore_ont_7025.owl,3535,1226,10641,6770,4838,1745,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0214,0.0259,0.2442,0.0022,0.0696,,0.1736,0.0464,0.1808,0.0586999999999999,0.2521,0.1163,,0.0678,0.2067,0.3028999999999999,0.25429999999999997,0.1859,,0.1736
ore_ont_16822.owl,3535,1226,10644,6773,4840,1746,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0224,0.0232999999999999,0.2394,0.0022,0.0759,,0.1727,0.047,0.1854,0.0593,0.2572,0.1218,,0.0694,0.2086999999999999,0.2987,0.25939999999999996,0.1977,,0.1727
ore_ont_7537.owl,3535,1226,10644,6773,4840,1746,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0248,0.0246,0.2387,0.0022,0.0721,,0.1717,0.0546,0.1848999999999999,0.0615,0.2618,0.1234,,0.0794,0.2094999999999999,0.3002,0.26399999999999996,0.1955,,0.1717
ore_ont_8417.owl,3576,1226,10665,6754,4881,1686,187,29,307,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.024,0.0285,0.2282,0.0022,0.0747,,0.1717,0.0501,0.1719,0.056,0.2536,0.1144,0.1046,0.0741,0.2004,0.2842,0.25579999999999997,0.1891,,0.1717
ore_ont_1517.owl,3068,1135,10353,6754,4219,2159,376,32,500,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0261,0.0515,0.2659,0.0022,0.066,,0.1774,0.0519,0.1769,0.0607,0.2622,0.1251,,0.078,0.2284,0.3266,0.26439999999999997,0.1911,,0.1774
ore_ont_7944.owl,3544,1226,10663,6783,4851,1745,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0207,0.0255,0.2146,0.0022,0.072,,0.1733,0.0449,0.1797,0.0572,0.2515,0.1277,,0.0656,0.2052,0.27180000000000004,0.2537,0.1997,,0.1733
ore_ont_14906.owl,3568,1226,10664,6760,4887,1686,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0206,0.0308,0.2446,0.0021,0.077,,0.1735,0.0438,0.1853,0.0545,0.2506,0.1273,0.1075,0.0644,0.2161,0.29910000000000003,0.2527,0.20429999999999998,,0.1735
ore_ont_5398.owl,3546,1226,10672,6790,4858,1745,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0222,0.0247,0.2417,0.0023,0.0758,,0.1752,0.0514,0.1816,0.066,0.2524,0.1286,,0.0736,0.2063,0.3077,0.25470000000000004,0.2044,,0.1752
ore_ont_336.owl,3587,1231,10691,6768,4901,1680,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0203,0.0257,0.2487,0.0021,0.0745,,0.1742,0.0432,0.1804,0.0651,0.2573,0.1183,0.1132,0.0635,0.2061,0.3138,0.25939999999999996,0.1928,,0.1742
ore_ont_7079.owl,3571,1226,10709,6802,4880,1735,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0249,0.0295,0.2304,0.0023,0.074,,0.1766,0.0545,0.182,0.0626,0.2606,0.1133,,0.0794,0.2115,0.293,0.2629,0.1873,,0.1766
ore_ont_6504.owl,3528,1226,10668,6803,4842,1774,187,30,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0219,0.0282,0.2447,0.002,0.0787,,0.1777,0.0476,0.1783,0.0644,0.2551,0.1183,0.1177,0.0695,0.2065,0.3091,0.2571,0.197,,0.1777
ore_ont_10173.owl,3021,1173,10391,6838,4165,2297,376,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0246,0.0511,0.2774,0.0024,0.0689999999999999,,0.1873,0.0473,0.1765,0.0566,0.2643,0.1271,,0.0719,0.2276,0.33399999999999996,0.2667,0.19609999999999989,,0.1873
ore_ont_9534.owl,3052,1177,10383,6801,4206,2220,375,33,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0225,0.0516,0.2877,0.0022,0.0684,,0.1852,0.0443,0.175,0.0618,0.2593,0.1226,,0.0668,0.2266,0.34950000000000003,0.26149999999999995,0.191,,0.1852
ore_ont_2700.owl,3551,1262,10684,6792,4866,1739,187,29,313,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0218,0.0301,0.2318,0.0023,0.0739,,0.1786,0.0472,0.1856,0.0697,0.2546,0.117,0.1068,0.069,0.21569999999999998,0.3015,0.2569,0.19090000000000001,,0.1786
ore_ont_14286.owl,2366,7,14791,12421,4430,7989,2,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0362,0.0142,0.1545,0.0022,0.0114,0.0126,0.1005,0.0723,0.1371,0.0759,0.3273999999999999,0.0817,0.0795,0.10850000000000001,0.1513,0.2304,0.3295999999999999,0.09309999999999999,0.0921,0.1005
ore_ont_2213.owl,3016,1190,10420,6869,4165,2321,383,32,504,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0255,0.0598,0.2746,0.0025,0.0682,,0.19,0.0503,0.1754,0.0623,0.2739999999999999,0.124,,0.07579999999999999,0.2352,0.33690000000000003,0.2764999999999999,0.19219999999999998,,0.19
ore_ont_3050.owl,2994,1152,10356,6830,4129,2319,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0227,0.0564,0.2596,0.0021,0.0689,,0.1826,0.0507,0.1792,0.0601,0.262,0.1192999999999999,,0.0734,0.2356,0.3197,0.2641,0.18819999999999992,,0.1826
ore_ont_12418.owl,2994,1152,10356,6830,4129,2319,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.023,0.0542,0.2977,0.0023,0.0698,,0.183,0.0447,0.1858,0.0516,0.2749,0.1219,,0.0677,0.24,0.3493,0.2772,0.19169999999999998,,0.183
