Reasoners,Success,Total,OutOfMemory,Timeout,Other Error,Total Error,Mean,Sum,Amean,Gmean,Max,Min
JFact,1920,1920,0,0,0,0,0.3457343229166666,663.8098999999999,0.3457343229166666,0.0550513895195344,11.3043,0.0059
Openllet,1918,1920,0,2,0,2,2.304734671532846,4420.481099999999,6.0523339062499995,0.12272235985027406,1148.2702,0.0120999999999999
Konclude,1916,1920,0,3,1,4,2.5465406576200422,4879.171900000001,10.041235364583336,0.28477751864564843,269.3959,0.0254
HermiT,1890,1920,1,0,29,30,1.0601246031746028,2003.6354999999994,57.29356015625004,0.21432609929180602,49.0651,0.0159
Factpp,1878,1920,0,0,42,42,0.3656994675186369,686.7836000000001,79.10769979166669,0.06109261154859443,17.1283,0.0027
Pellet,1641,1920,0,2,277,279,2.7785987812309556,4559.680599999998,525.4998336458333,0.5133991933160373,1250.6575,0.0112
