gallen.owl,0.002,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.001,6.000000000000001E-4,5.0E-4
ochv.owl,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,8.0E-4,0.001
snmi.owl,7.261,7.056,7.411,6.992,7.133,6.815,7.322,7.022,7.133,7.145,7.129,7.133
reto.owl,2.301,2.31,2.385,2.197,2.412,2.095,2.293,2.663,2.459,2.535,2.365,2.3475
rexo.owl,2.557,2.208,2.586,2.428,2.32,2.267,2.229,2.222,2.681,2.352,2.385,2.336
gexo.owl,2.46,2.527,2.663,2.322,2.63,2.593,2.482,2.828,2.712,2.475,2.5692,2.56
iobc.owl,1.916,1.78,1.6,1.607,1.588,1.595,1.632,1.732,1.616,1.564,1.663,1.6115
rhmesh.owl,0.002,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,6.000000000000001E-4,5.0E-4
hoom.xml,0.012,0.005,0.005,0.005,0.005,0.005,0.004,0.006,0.167,0.007,0.022099999999999998,0.005
fma.owl,0.009,0.004,0.002,0.002,0.003,0.001,0.001,0.002,0.001,0.001,0.0026,0.002
nifstd.xml,java.lang.IllegalArgumentException: Non-simple property '<http://purl.obolibrary.org/obo/pr#has_part>' or its inverse appears in the cardinality restriction 'ObjectMaxCardinality(1 <http://purl.obolibrary.org/obo/pr#has_part> <http://purl.obolibrary.org/obo/PR_000027684>)'.
upheno.xml,java.lang.OutOfMemoryError: Java heap space
ncit.owl,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.0011,0.001
dron.xml,13.788,13.477,13.252,13.39,13.504,13.331,13.554,13.505,13.266,13.263,13.433,13.4335
loinc.owl,40.377,40.475,40.156,40.766,39.952,40.478,40.797,40.026,39.898,39.595,40.252,40.2665
chebi.xml,0.296,0.184,0.154,0.163,0.176,0.178,0.182,0.154,0.165,0.167,0.1819,0.17149999999999999
MESH.owl,74.71,73.591,73.485,74.228,73.567,72.999,73.944,73.479,72.008,72.767,73.4778,73.526
ncbitaxon.owl,java.lang.OutOfMemoryError: Java heap space
gaz.xml,3.47,3.529,3.346,3.535,3.789,3.413,3.574,3.369,3.742,3.382,3.5149,3.4995000000000003
pr.xml,1.604,1.506,1.413,1.38,1.509,1.513,1.431,1.487,1.386,1.358,1.4586999999999999,1.459
cco.xml,8.065,8.253,8.056,8.135,8.041,8.157,8.208,8.236,8.162,8.096,8.1409,8.146
