Reasoners,Success,Other Error,OutOfMemory,Timeout,Total,Mean,Sum,Inconsistent Error
KoncludeCLI,616,5,0,3,624,2.4485137987012977,1508.2845,0
Konclude,591,5,0,3,624,0.5082512690355331,300.37649999999996,25
HermiT,512,17,2,68,624,76.04476210937494,38934.9182,25
Openllet,488,8,8,84,624,27.916545286885246,13623.2741,36
Factpp,471,60,0,79,624,32.502346496815285,15308.6052,14
JFact,439,8,1,140,624,81.49167175398634,35774.84389999999,36
Pellet,339,177,5,81,624,32.06164306784661,10868.896999999999,22
